text	sentiment
two down  one more to go  t storms expected tomorrow  sounds like fun  may need to cut the ride short of     mi tho  on my way to office  	0
just playin' around  	1
grand total of    kiddos today in vbs  absolutely amazing  everyone is doing a spectacular job  now  i am off to a funeral 	0
watching jon and kate plus    five more days  it's killing me 	0
 stepheneyre goodmorning to you too  how are you  crumpet   	1
 carriechute ohh noo   tha awful  im sure it'll be fine	0
think i woke everyone in the house  however i now have my sandwich and some oj 	1
wow the latest all american rejects album really is something special 	1
thinking a    hr  day boze cruzn  not the smartest thing when you work the next day      	0
do you still think of me    i think of you  	0
wants a holiday so bad  http   plurk com p xrdlf	0
 girliesworld worddd   	1
 billbeckett clearly he is very very wasted 	1
 rohitsabu tell me about les paul  i asked  aiyerchitra  knownotmuch  sudhamshu to gift it for my birthday  but no  they won't  meeaaann  	0
is making herself a cup of moccha to prepare for a long night  determined to finish urinary system  	1
happy mother's day 	1
poor puppy has a kidney infection 	0
 judyobscure wish it was sunny here 	0
golfing in orlando in    degree weather  laying by the pool all day  this is the life  if only one person could be with me 	0
yay simoya just made my page   wooo hoo i tweet 	1
just finished watching mrs doubtfire 	1
senior too crackin  hotel too crackin  on my way to santa cruz   	1
missing  matthoneywill loads  love you baby x	0
 unitechy u asked d same ie  exe   isnt it   or  i misunderstood 	1
help me help me help me i am bored like hell 	0
is at school with marthe   lt   marketing  	1
 magnifikka let's go home this inidie day 	1
cannot believe that nick griffin is currently on the bbc spouting hatred  a sad sad sad day 	0
ahhhh i need a new phone  cnt dm on this sk        gotta wait till i get hm      amp  hop on the mac 	0
check out our item of the day  perfect for your little flower girl  http   emmalinebride com	1
running errands with my sisters and getting my hair done and mall maybe    be back laterrrrrrr 	1
 totesmcgotes road trip for us next month  then we're flying out in sept  vegas is my escape too 	1
i missed all of you 	0
 rossmills myrail was better till they got shafted 	0
where the hell did my pez dispencer go   now i must eat them out of the paper  its not as fun	0
 importedmegami congrats  can't wait to hear your unboxing glee  	1
 jaylinkiii and i feel fine  thanks  buddy  	1
 officialbabyv good morning  how are you this fine day  lol 	1
i can honestly say i dont fake my orgasms   	1
cant wait for this crimson tide b over n done wit damn it 	0
ma terminale tonight on plug   and back on the radiiiiooooo on thursday  	1
damn sad cuz i gotta miss my own moms goin away party 	0
is unnecessarily intoxicated and sruff 	0
 nicanoelle hahaaa  glad to hear you are enjoying it 	1
loving summer  working on house stuff today   will probably watch the travel channel most of the day 	1
actually going to bed now  gnight all 	1
jus got out of the er  had a car accident 	0
it's official    is done  and it's made me very sad  i never want to cry when i write  but i totally do right now  	0
 kila   on my way to school 	0
 tiffanycaress thank u but i kno i did bad on my physics test yesterday  	0
the global crisis changes everything  http   bit ly lyrmj	1
erf not too sure twitter games are nice it feels like i'm going to spam all that follow me  sorry dudes	0
is sick of being the person you can't take anywhere and knows its no ones fault but his own   night kids 	0
'lovebug' by jonas brothers   omg i luv this song sooooo much 	1
 button    keep up your good job  dude 	1
im very sad 	0
my stomach is in knots    i barely slept last night 	0
 alana babess x  couldnt get to sleep probs  cos your on twitter   tut tut  x	1
 billyraycyrus you should totally get your mullet back   bring it back into fashion   haha  btw great song  	1
at doctors wif kay haha and had a shit ass day crap as 	0
